SEASON,TEAM,PLAYER,GP,FPTS/G,FPTS,CMP,ATT,CMP%,YDS,AVG,TD,INT,RATING,ATT_RUSH,YDS_RUSH,AVG_RUSH,TD_RUSH,DEF_PTS_ALLOWED
2018,BAL,Lamar Jackson,16,9.8,157.5,99,170,58.2,1201,7.1,6,3,84.5,147,695,4.7,5,17.9
2019,BAL,Lamar Jackson,15,27.7,415.7,265,401,66.1,3127,7.8,36,6,113.3,176,1206,6.9,7,18.2
2020,BAL,Lamar Jackson,15,22.2,332.8,242,376,64.4,2757,7.3,26,9,99.3,159,1005,6.3,7,19.1
2021,BAL,Lamar Jackson,12,20.0,240.0,246,382,64.4,2882,7.5,16,13,87.0,133,767,5.8,2,23.1
2022,BAL,Lamar Jackson,12,19.7,236.1,203,326,62.3,2242,6.9,17,7,91.1,112,764,6.8,3,18.5
2023,BAL,Lamar Jackson,16,20.7,331.2,307,457,67.2,3678,8.0,24,7,102.7,148,821,5.5,5,16.3
2024,BAL,Lamar Jackson,17,25.3,430.4,316,474,66.7,4172,8.8,41,4,119.6,139,915,6.6,4,17.0
2018,BUF,Josh Allen,12,17.3,208.1,169,320,52.8,2074,6.5,10,12,67.9,89,631,7.1,8,23.4
2019,BUF,Josh Allen,16,18.0,288.6,271,461,58.8,3089,6.7,20,9,85.3,109,510,4.7,9,16.2
2020,BUF,Josh Allen,16,24.8,396.1,396,572,69.2,4544,7.9,37,10,107.2,102,421,4.1,8,23.4
2021,BUF,Josh Allen,17,23.7,402.6,409,646,63.3,4407,6.8,36,15,92.2,122,763,6.3,6,17.0
2022,BUF,Josh Allen,16,24.7,395.5,359,567,63.3,4283,7.6,35,14,96.6,124,762,6.1,7,17.9
2023,BUF,Josh Allen,17,23.1,392.6,385,579,66.5,4306,7.4,42,18,92.2,111,524,4.7,15,18.3
2024,BUF,Josh Allen,17,22.3,379.0,307,483,63.6,3731,7.7,28,6,101.4,102,531,5.2,12,19.0
2020,PHI,Jalen Hurts,15,7.3,109.4,77,148,52.0,1061,7.2,6,4,77.6,63,357,5.7,3,26.1
2021,PHI,Jalen Hurts,15,20.8,312.2,265,432,61.3,3144,7.3,16,9,87.2,139,784,5.6,10,22.7
2022,PHI,Jalen Hurts,15,25.2,378.0,306,460,66.5,3701,8.0,22,6,101.5,165,760,4.6,13,20.2
2023,PHI,Jalen Hurts,17,21.0,356.8,352,538,65.4,3858,7.2,23,15,89.1,157,605,3.9,15,19.1
2024,PHI,Jalen Hurts,15,21.0,315.1,248,361,68.7,2903,8.0,18,5,103.7,150,630,4.2,14,18.5
2024,WAS,Jayden Daniels,17,20.9,355.8,331,480,69.0,3568,7.4,25,9,100.1,148,891,6.0,6,21.5
2019,ARI,Kyler Murray,16,17.8,285.3,349,542,64.4,3722,6.9,20,12,87.4,93,544,5.8,4,27.6
2020,ARI,Kyler Murray,16,23.7,378.7,375,558,67.2,3971,7.1,26,12,94.3,133,819,6.2,11,22.9
2021,ARI,Kyler Murray,14,21.5,300.5,333,481,69.2,3787,7.9,24,10,100.5,88,423,4.8,5,21.5
2022,ARI,Kyler Murray,11,18.2,200.5,259,390,66.4,2368,6.1,14,7,87.2,67,418,6.2,3,26.4
2023,ARI,Kyler Murray,8,18.3,146.4,176,268,65.7,1799,6.7,10,5,89.4,44,244,5.5,3,26.8
2024,ARI,Kyler Murray,17,17.5,297.2,372,541,68.8,3851,7.1,21,11,93.5,78,572,7.3,5,22.3
